track_id,song_id,artist_id,artist_name,song_title,genre,dot_match_1,dot_match_2,dot_match_3,centered_match_1,centered_match_2,centered_match_3,corr_match_1,corr_match_2,corr_match_3,cosine_match_1,cosine_match_2,cosine_match_3
TRBYDKJ12903CA9D33,SOTXSMC12AB0182217,ARS8GNX1187B9B5141,The Black Keys,Black Door,blues,Kandi - I Wanna Know,Lauryn Hill - Interlude 5,Mario Vazquez - Everytime I...,Kandi - I Wanna Know,Lauryn Hill - Interlude 5,Mario Vazquez - Everytime I...,Kandi - I Wanna Know,Julia Fordham - Genius,Psapp - I Want That,Kandi - I Wanna Know,Julia Fordham - Genius,Psapp - I Want That
TRWJKJK128F9338FEF,SOIFDQD12AB01822F5,ARS8GNX1187B9B5141,The Black Keys,Busted,blues,Lauryn Hill - Interlude 5,Twista - I'm A Winner (Amended Album Version),Erykah Badu - I Want You,Lauryn Hill - Interlude 5,Twista - I'm A Winner (Amended Album Version),Erykah Badu - I Want You,Bow Wow - Sunshine,The Clash - 1-2 Crush On You,Hawthorne Heights - Rescue Me,Bow Wow - Sunshine,The Clash - 1-2 Crush On You,Hawthorne Heights - Rescue Me
TRUULBP12903CA9D23,SORMOIW12AB01887F0,ARS8GNX1187B9B5141,The Black Keys,Give Your Heart Away,blues,Lauryn Hill - Interlude 5,Michael Jackson - Man In The Mirror,Beastie Boys - B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),Michael Jackson - Man In The Mirror,Lauryn Hill - Interlude 5,Twista - I'm A Winner (Amended Album Version),Elton John - Heart In The Right Place,Kenny Rogers - Endless love,Dru Hill - Share My World,Elton John - Heart In The Right Place,Kenny Rogers - Endless love,Dru Hill - Share My World
TRYYJHJ128F9340B19,SOKGVJH12A58A77920,ARS8GNX1187B9B5141,The Black Keys,Grown So Ugly,blues,Lauryn Hill - Interlude 5,Beastie Boys - B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),Eminem - My Darling,Lauryn Hill - Interlude 5,Beastie Boys - B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),Eminem - My Darling,Robert Johnson - 32 20 Blues,Robert Johnson - Kindhearted Woman Blues,Once Nothing - The Dust Of A Town,Robert Johnson - 32 20 Blues,Once Nothing - The Dust Of A Town,Jodeci - My Phone
TRHHJCL12903CB44B7,SOFRWHG12A58A7DF46,ARS8GNX1187B9B5141,The Black Keys,Hard Row,blues,Lauryn Hill - Interlude 5,Twista - I'm A Winner (Amended Album Version),Michael Jackson - Man In The Mirror,Lauryn Hill - Interlude 5,Twista - I'm A Winner (Amended Album Version),Michael Jackson - Man In The Mirror,Dance Hall Crashers - Othello,Eyes Set to Kill - All You Ever Knew,The Acacia Strain - Skynet,Dance Hall Crashers - Othello,Eyes Set to Kill - All You Ever Knew,The Acacia Strain - Skynet
TRWZXDS128F427A71B,SOAJJDS12A8C13A3FB,ARS8GNX1187B9B5141,The Black Keys,I Got Mine,blues,Mario Vazquez - Everytime I...,Eminem - 8 Mile,Erykah Badu - I Want You,Mario Vazquez - Everytime I...,Erykah Badu - I Want You,Eminem - 8 Mile,Gary Moore - Ain't Nobody,Veronica Maggio - I staden växer inga blommor,Judy Garland - I Got Rhythm,Gary Moore - Ain't Nobody,Veronica Maggio - I staden växer inga blommor,Judy Garland - I Got Rhythm
TRZDLWE12903CB44DE,SOURIRH12A58A7B408,ARS8GNX1187B9B5141,The Black Keys,If You See Me,blues,Twista - I'm A Winner (Amended Album Version),Lauryn Hill - Interlude 5,Erykah Badu - I Want You,Twista - I'm A Winner (Amended Album Version),Lauryn Hill - Interlude 5,Erykah Badu - I Want You,Ann Lee - Smooth & Sweet,Hafdis Huld - Plastic Halo,Ginuwine - Only When ur Lonely,Ann Lee - Smooth & Sweet,Hafdis Huld - Plastic Halo,Ginuwine - Only When ur Lonely
TRNZQVO128F427A71E,SOIQUSV12A8C13A402,ARS8GNX1187B9B5141,The Black Keys,Lies,blues,Lauryn Hill - Interlude 5,Beastie Boys - B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),Twista - I'm A Winner (Amended Album Version),Lauryn Hill - Interlude 5,Twista - I'm A Winner (Amended Album Version),Beastie Boys - B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),Pop Will Eat Itself - I've Always Been A Coward Baby,Das Ich - Lügen Und Das Ich,Linda Ronstadt - Lies  (LP Version),Pop Will Eat Itself - I've Always Been A Coward Baby,Das Ich - Lügen Und Das Ich,Linda Ronstadt - Lies  (LP Version)
TRAECHJ12903CC36DA,SOCQQSU12AB0185BF4,ARS8GNX1187B9B5141,The Black Keys,Next Girl,blues,Beastie Boys - B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),Calvin Harris - The Girls,Eminem - 8 Mile,Beastie Boys - B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),Calvin Harris - The Girls,Eminem - 8 Mile,Jesse Johnson - I Want My Girl,OTT - Be My Girl,The Jeff Healey Band - My Little Girl,Jesse Johnson - I Want My Girl,OTT - Be My Girl,The Jeff Healey Band - My Little Girl
TRRVSIN128F9338FD5,SOSICNK12AB01876BB,ARS8GNX1187B9B5141,The Black Keys,No Fun,blues,Enrique Iglesias - Miss You,Tracey Ullman - Breakaway,Janis Joplin - Kozmic Blues,Enrique Iglesias - Miss You,Tracey Ullman - Breakaway,Janis Joplin - Kozmic Blues,The Stooges - No Fun (Remasterd LP Version),Yerba Buena - No No No,Mecano - La Estación,The Stooges - No Fun (Remasterd LP Version),Yerba Buena - No No No,Mecano - La Estación
TRYMMVG128F9340B1B,SOHKBXW12AB0185660,ARS8GNX1187B9B5141,The Black Keys,Stack Shot Billy,blues,Lauryn Hill - Interlude 5,Beastie Boys - B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),The Pharcyde - Otha Fish,Lauryn Hill - Interlude 5,The Pharcyde - Otha Fish,Beastie Boys - B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),George Jones - Who Shot Sam,Thursday - Unintended Long Term Effects,John Hiatt - Trudy And Dave,George Jones - Who Shot Sam,Thursday - Unintended Long Term Effects,John Hiatt - Trudy And Dave
TRKSEEY12903CCD312,SOTEPSZ12AB018C99D,ARS8GNX1187B9B5141,The Black Keys,Ten Cent Pistol,blues,The Corrs - Queen Of Hollywood ( LP Version ),Twiztid - She Ain't Afraid,Lauryn Hill - Interlude 5,The Corrs - Queen Of Hollywood ( LP Version ),Twiztid - She Ain't Afraid,Beastie Boys - B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),The Boomtown Rats - Diamond Smiles,The Corrs - Queen Of Hollywood ( LP Version ),Tracy Byrd - Right About Now,The Boomtown Rats - Diamond Smiles,The Corrs - Queen Of Hollywood ( LP Version ),Tracy Byrd - Right About Now
TRFOGQC12903CA9D2E,SOTDIMP12AB01821E8,ARS8GNX1187B9B5141,The Black Keys,The Flame,blues,Lauryn Hill - Interlude 5,Twista - I'm A Winner (Amended Album Version),Eminem - My Darling,Lauryn Hill - Interlude 5,Twista - I'm A Winner (Amended Album Version),Danity Kane - Hold Me Down (Album Version),Midtown - Knew It All Along (Acoustic),Digital Underground - Sex Packets (LP Version),Lauryn Hill - Interlude 5,Digital Underground - Sex Packets (LP Version),Lauryn Hill - Interlude 5,Midtown - Knew It All Along (Acoustic)
TREVCQU12903CCD318,SOGECRB12AB018C9AB,ARS8GNX1187B9B5141,The Black Keys,These Days,blues,Lauryn Hill - Interlude 5,Beastie Boys - B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),Erykah Badu - I Want You,Lauryn Hill - Interlude 5,Beastie Boys - B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),Erykah Badu - I Want You,Gregg Allman - These Days,Hot Water Music - The Sense,Rhymefest - These Days,Gregg Allman - These Days,Hot Water Music - The Sense,Rhymefest - These Days
TRFLJNE12903CB44F1,SOBJBEU12AF729D526,ARS8GNX1187B9B5141,The Black Keys,When The Lights Go Out,blues,Lauryn Hill - Interlude 5,Twista - I'm A Winner (Amended Album Version),Erykah Badu - I Want You,Lauryn Hill - Interlude 5,Twista - I'm A Winner (Amended Album Version),Erykah Badu - I Want You,Donnie - Do You Know?,Shannon McNally - Down And Dirty,Bon Jovi - Superman Tonight,Shannon McNally - Down And Dirty,Donnie - Do You Know?,Bon Jovi - Superman Tonight
TRQNNKX12903CB44CA,SOCULJG12A8AE4714D,ARS8GNX1187B9B5141,The Black Keys,Have Love Will Travel,blues,Erykah Badu - I Want You,Lauryn Hill - Interlude 5,Twista - I'm A Winner (Amended Album Version),Erykah Badu - I Want You,Lauryn Hill - Interlude 5,Twista - I'm A Winner (Amended Album Version),Lisa Stansfield - Somewhere In Time,Burden Of A Day - My Forfeit,Bronski Beat - I Feel Love,Lisa Stansfield - Somewhere In Time,Burden Of A Day - My Forfeit,Rufus Wainwright - Baby
TRKNKGC128F42A746A,SOUZEJD12D021B5336,AR20CFC1187B98A25D,Ray Charles,C.C. Rider,blues,Lauryn Hill - Interlude 5,Twista - I'm A Winner (Amended Album Version),Eminem - My Darling,Lauryn Hill - Interlude 5,Twista - I'm A Winner (Amended Album Version),Erykah Badu - I Want You,Harry Belafonte - Angelina,Jeff Timmons - Can't You See,Shannon McNally - Down And Dirty,Harry Belafonte - Angelina,Jeff Timmons - Can't You See,Shannon McNally - Down And Dirty
TRWEHQE128F935A2D6,SOKQSDH12AB0188B1A,AR20CFC1187B98A25D,Ray Charles,I Got a Woman,blues,Beastie Boys - B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),Lauryn Hill - Interlude 5,Twiztid - She Ain't Afraid,Beastie Boys - B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),Twiztid - She Ain't Afraid,Eminem - 8 Mile,The Pharcyde - Passin' Me By,Josh Turner - Haywire,Gentleman - Empress,The Pharcyde - Passin' Me By,Gentleman - Empress,Josh Turner - Haywire
TRPMJOK128F92F317A,SOQWJXH12AAF3B5B0F,AR20CFC1187B98A25D,Ray Charles,The Sun's Gonna Shine Again,blues,Lauryn Hill - Interlude 5,Beastie Boys - B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),Twista - I'm A Winner (Amended Album Version),Lauryn Hill - Interlude 5,Twista - I'm A Winner (Amended Album Version),Erykah Badu - I Want You,Skip James - Devil Got My Woman,Robben Ford - The Way You Treated Me (You're Gonna Be Sorry),Lauryn Hill - Interlude 1,Skip James - Devil Got My Woman,Robben Ford - The Way You Treated Me (You're Gonna Be Sorry),Lauryn Hill - Interlude 1
TRGXECP12903CDDC43,SOCLEEQ12D021B23E0,AR20CFC1187B98A25D,Ray Charles,Losing Hand,blues,Lauryn Hill - Interlude 5,Twista - I'm A Winner (Amended Album Version),Erykah Badu - I Want You,Lauryn Hill - Interlude 5,Twista - I'm A Winner (Amended Album Version),Erykah Badu - I Want You,Wild Strawberries - Heroine,LL Cool J - Lollipop,Rufus Wainwright - Baby,LL Cool J - Lollipop,Wild Strawberries - Heroine,Rufus Wainwright - Baby
TREQYGT128E07859FA,SOZOJBP12A6701E425,ARV9LSS1187B98C471,Blake Shelton,Nobody But Me (Album Version),blues,Lauryn Hill - Interlude 5,Twista - I'm A Winner (Amended Album Version),Erykah Badu - I Want You,Lauryn Hill - Interlude 5,Erykah Badu - I Want You,Twista - I'm A Winner (Amended Album Version),Webb Pierce - I Ain't Never,En Vogue - Love Don't Love You (LP Version),Ray Charles - Let's Go,Webb Pierce - I Ain't Never,En Vogue - Love Don't Love You (LP Version),Ray Charles - Let's Go
TROFEVE12903CD8AAA,SONQLUB12D02199FCD,AR66H0N1187B9AE91E,Etta James,A Sunday Kind of Love,blues,Lauryn Hill - Interlude 5,Beastie Boys - B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),Eminem - 8 Mile,Lauryn Hill - Interlude 5,Beastie Boys - B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),Eminem - 8 Mile,Astrud Gilberto - And Roses And Roses,Melissa Etheridge - Fearless Love,W.A.S.P. - Fistful Of Diamonds,Astrud Gilberto - And Roses And Roses,Melissa Etheridge - Fearless Love,W.A.S.P. - Fistful Of Diamonds
TRCFPJF128F428A872,SOKCCML12D021B0FC6,AR66H0N1187B9AE91E,Etta James,I Just Want To Make Love To You,blues,Lauryn Hill - Interlude 5,Twista - I'm A Winner (Amended Album Version),Erykah Badu - I Want You,Lauryn Hill - Interlude 5,Twista - I'm A Winner (Amended Album Version),Erykah Badu - I Want You,Willie Dixon - I Just Want To Make Love To You,Jesse Johnson - Love Struck,Jon Secada - Want You_ Miss You_ Love You,Willie Dixon - I Just Want To Make Love To You,Jesse Johnson - Love Struck,Jon Secada - Want You_ Miss You_ Love You
TRBFTHL128C7196B42,SODJRCC12D02192374,AR66H0N1187B9AE91E,Etta James,My Dearest Darling,blues,Lauryn Hill - Interlude 5,Twista - I'm A Winner (Amended Album Version),Eminem - My Darling,Twista - I'm A Winner (Amended Album Version),Eminem - My Darling,Lauryn Hill - Interlude 5,Kenny Rogers - Endless love,Angie Stone - Snowflakes,Mint Condition - Breakin' My Heart (Pretty Brown Eyes),Kenny Rogers - Endless love,Angie Stone - Snowflakes,Mint Condition - Breakin' My Heart (Pretty Brown Eyes)
TRFEGGQ128E07898AA,SOMPSXS12D021B12D7,AR66H0N1187B9AE91E,Etta James,W.O.M.A.N.,blues,Lauryn Hill - Interlude 5,Electrelane - Cut And Run,Twista - I'm A Winner (Amended Album Version),Lauryn Hill - Interlude 5,Electrelane - Cut And Run,Twista - I'm A Winner (Amended Album Version),Pretty Maids - Perfect Stranger,The Darkness - Givin' Up (Clean Version),Little Anthony & The Imperials - Shimmy_ Shimmy_ Ko-Ko-Bop (Single Version),Pretty Maids - Perfect Stranger,The Darkness - Givin' Up (Clean Version),Little Anthony & The Imperials - Shimmy_ Shimmy_ Ko-Ko-Bop (Single Version)
TRDDDDX128E0793212,SOIOOIR12A58A7EBB8,ARLAUED1187B9ACEAF,Eric Clapton,Alberta,blues,Lauryn Hill - Interlude 5,Twista - I'm A Winner (Amended Album Version),Eminem - My Darling,Lauryn Hill - Interlude 5,Twista - I'm A Winner (Amended Album Version),Eminem - My Darling,Bay City Rollers - Lovely To See You,Shannon McNally - Down And Dirty,Jennifer Lopez - Theme From Mahagony (Do You Know Where You're Going To),Bay City Rollers - Lovely To See You,Shannon McNally - Down And Dirty,Jennifer Lopez - Theme From Mahagony (Do You Know Where You're Going To)
TRWBAGY128F93034BF,SOXIVQT12AB0181061,ARLAUED1187B9ACEAF,Eric Clapton,Before You Accuse Me (Take A Look At Yourself),blues,Lauryn Hill - Interlude 5,Eminem - My Darling,Beastie Boys - B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),Lauryn Hill - Interlude 5,Eminem - My Darling,Twista - I'm A Winner (Amended Album Version),Bo Diddley - Before You Accuse Me,Fat Joe - Preacher On A Sunday Morning,Joss Stone - You Had Me (Live),Bo Diddley - Before You Accuse Me,Fat Joe - Preacher On A Sunday Morning,Joss Stone - You Had Me (Live)
TRLWIBC128E0792E2C,SORMUAO12A6D4F9262,ARLAUED1187B9ACEAF,Eric Clapton,Early In The Morning,blues,Lauryn Hill - Interlude 5,Beastie Boys - B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),Danity Kane - Hold Me Down (Album Version),Lauryn Hill - Interlude 5,Beastie Boys - B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),Danity Kane - Hold Me Down (Album Version),Seventh Day Slumber - Broken Buildings,Gil Scott-Heron - Me And The Devil,Opeth - The Moor,Gil Scott-Heron - Me And The Devil,Seventh Day Slumber - Broken Buildings,Opeth - The Moor
TRAZQIG128F146372E,SOFZYKR12A6D4F72A5,ARLAUED1187B9ACEAF,Eric Clapton,Floating Bridge,blues,Lauryn Hill - Interlude 5,Beastie Boys - B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),Eminem - 8 Mile,Lauryn Hill - Interlude 5,Beastie Boys - B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),Eminem - 8 Mile,Lupe Fiasco - Hurt Me Soul (Explicit Album Version),Jackie Greene - About Cell Block #9,Onyx - Feel Me,Lupe Fiasco - Hurt Me Soul (Explicit Album Version),Onyx - Feel Me,Jackie Greene - About Cell Block #9
TRQUJCP128F4238206,SOICNJH12A81C22263,ARLAUED1187B9ACEAF,Eric Clapton,Kind Hearted Woman Blues (Album Version),blues,Lauryn Hill - Interlude 5,Beastie Boys - B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),Twista - I'm A Winner (Amended Album Version),Lauryn Hill - Interlude 5,Beastie Boys - B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),Erykah Badu - I Want You,Robert Johnson - Kindhearted Woman Blues,Jonny Lang - Breakin Me,The Mick Fleetwood Blues Band - Black Magic Woman,Robert Johnson - Kindhearted Woman Blues,Jonny Lang - Breakin Me,Anastacia - Club Megamix
TRIDJMD128E078B984,SOWGAGY12A6701F305,ARN0YZ71187B9BA57B,Michael Bublé,That's All (Album Version),classical,Lauryn Hill - Interlude 5,Twista - I'm A Winner (Amended Album Version),Michael Jackson - Man In The Mirror,Lauryn Hill - Interlude 5,Twista - I'm A Winner (Amended Album Version),Michael Jackson - Man In The Mirror,Hindi Zahra - Fascination (Album Version),Mayday Parade - One Man Drinking Games,KC And The Sunshine Band - All My Love,Hindi Zahra - Fascination (Album Version),Mayday Parade - One Man Drinking Games,KC And The Sunshine Band - All My Love
TRYRCXF128F424183D,SOWXYFO12A8AE46AD3,ARGVJPK1187B9909EA,Josh Groban,America (Revised Live Version),classical,Lauryn Hill - Interlude 5,Beastie Boys - B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),Eminem - 8 Mile,Lauryn Hill - Interlude 5,Beastie Boys - B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),Eminem - 8 Mile,Simon & Garfunkel - America,Brand Nubian - All For One (Explicit) (2006 Remastered LP Version),The Streets - The Irony Of It All (Album Version),Simon & Garfunkel - America,Brand Nubian - All For One (Explicit) (2006 Remastered LP Version),The Streets - The Irony Of It All (Album Version)
TRDQLTF128E0787809,SODUTDM12A67020476,ARGVJPK1187B9909EA,Josh Groban,Broken Vow (Album Version),classical,Lauryn Hill - Interlude 5,Twista - I'm A Winner (Amended Album Version),Erykah Badu - I Want You,Lauryn Hill - Interlude 5,Twista - I'm A Winner (Amended Album Version),Erykah Badu - I Want You,G4 - Broken Vow,Alexandra Burke - Overcome,Mario Vazquez - Everytime I...,G4 - Broken Vow,Alexandra Burke - Overcome,Il Divo - Mama
TRUAAEQ128F423C52D,SOGDUMI12A8AE45417,ARGVJPK1187B9909EA,Josh Groban,Gira Con Me Questa Notte (Album Version),classical,Abba - Move On,Horace Andy - Horse With No Name,Gemelli Diversi - Istruzioni Per L'(Ill)uso,Abba - Move On,Horace Andy - Horse With No Name,Gemelli Diversi - Istruzioni Per L'(Ill)uso,Gemelli Diversi - Istruzioni Per L'(Ill)uso,Vittorio Grigolo - Roma Sogna,Paolo Conte - Nord,Gemelli Diversi - Istruzioni Per L'(Ill)uso,Vittorio Grigolo - Roma Sogna,Paolo Conte - Nord
TRYGDNA128E078780C,SOWLNSE12A67020479,ARGVJPK1187B9909EA,Josh Groban,Hymne A L'Amour (Album Version),classical,Tryo - Yakamonéyé,Fonky Family - L'Amour Du Risque,Sniper - Panam All Star,Tryo - Yakamonéyé,Fonky Family - L'Amour Du Risque,Sniper - Panam All Star,Amandine Bourgeois - L'Homme De La Situation,Zazie - Tomber Le Masque,Lokua Kanza - A Tes Côtés,Amandine Bourgeois - L'Homme De La Situation,Zazie - Tomber Le Masque,Lokua Kanza - A Tes Côtés
TRDFTPP128F427550C,SOWOPHG12A8C13DB44,ARGVJPK1187B9909EA,Josh Groban,It Came Upon A Midnight Clear (Album Version),classical,The Streets - Weak Become Heroes,Travis - Sing,Jenny Lewis - Sing A Song,The Streets - Weak Become Heroes,Travis - Sing,Jenny Lewis - Sing A Song,Travis - Sing,Barry Manilow - Sing It,Cinderella Effect - Israel,Travis - Sing,Barry Manilow - Sing It,Cinderella Effect - Israel
TRRBWRX128F423C535,SOBFGZA12A8AE4542A,ARGVJPK1187B9909EA,Josh Groban,Let Me Fall (From Cirque du Soleil) (Album Version),classical,Lauryn Hill - Interlude 5,Eminem - 8 Mile,Beastie Boys - B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),Eminem - 8 Mile,Mario Vazquez - Everytime I...,Beastie Boys - B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),JET - Let Me Out,Robbie Williams - Come Take Me Over,Charley Pride - Let The Chips Fall,JET - Let Me Out,Robbie Williams - Come Take Me Over,Charley Pride - Let The Chips Fall
TRJSTLV128F4241832,SOHCDYF12A58A7C604,ARGVJPK1187B9909EA,Josh Groban,Mi Mancherai (Il Postino) (Revised Live Version),classical,Shaggy - Luv Me Up,Fabrizio De Andrè - Sinan Capudan Pascià,Jowell & Randy - Te Ando Buscando,Shaggy - Luv Me Up,Fabrizio De Andrè - Sinan Capudan Pascià,Jowell & Randy - Te Ando Buscando,Il Divo - Adagio,Il Divo - Musica,Vinicio Capossela - Il Pugile Sentimentale ( Live ),Il Divo - Adagio,Il Divo - Musica,Vinicio Capossela - Il Pugile Sentimentale ( Live )
